count,hate_speech,offensive_language,neither,class,tweet
3,0,0,3,2,rt as a woman you shouldnt complain about clean up your hous and as a man you should alway take the trash out
3,0,3,0,1,rt boy dat coldtyga dwn bad for cuffin dat hoe in the st place
3,0,3,0,1,rt dawg rt you ever fuck a bitch and she start to cri you be confus as shit
3,0,2,1,1,rt she look like a tranni
6,0,6,0,1,rt the shit you hear about me might be true or it might be faker than the bitch who told it to ya
3,1,2,0,1,the shit just blow meclaim you so faith and down for somebodi but still fuck with hoe
3,0,3,0,1,i can not just sit up and hate on anoth bitch i got too much shit go on
3,0,3,0,1,caus im tire of you big bitch come for us skinni girl
3,0,3,0,1,and you might not get ya bitch back and that that
3,1,2,0,1,hobbi includ fight mariam bitch
3,0,3,0,1,keek is a bitch she curv everyon lol i walk into a convers like thi smh
3,0,3,0,1,murda gang bitch it gang land
3,0,2,1,1,so hoe that smoke are loser yea go on ig
3,0,3,0,1,bad bitch is the onli thing that i like
3,1,2,0,1,bitch get up off me
3,0,3,0,1,bitch nigga miss me with it
3,0,3,0,1,bitch plz whatev
3,1,2,0,1,bitch who do you love
3,0,3,0,1,bitch get cut off everyday b
3,0,3,0,1,black bottl and a bad bitch
3,0,3,0,1,broke bitch cant tell me noth
3,0,3,0,1,cancel that bitch like nino
3,0,3,0,1,cant you see these hoe wont chang
3,0,3,0,1,fuck no that bitch dont even suck dick the kermit video bout to fuck ig up
3,0,3,0,1,got ya bitch tip toe on my hardwood floor
3,0,2,1,1,her pussi lip like heaven door
3,0,3,0,1,hoe what it hit for
3,0,3,0,1,i met that pussi on ocean dr i gave that pussi a pill
3,0,3,0,1,i need a trippi bitch who fuck on hennessi
3,0,3,0,1,i spend my money how i want bitch it my busi
3,0,3,0,1,i txt my old bitch my new bitch pussi wetter
3,0,3,0,1,id say im back to the old me but my old bitch would get excit
3,0,3,0,1,if you aint bout that murder game pussi nigga shut up
3,0,3,0,1,if your toe aint done you pussi stink
3,0,3,0,1,im done with bitter bitch it a wrap for that if you a angri bird there a app for that
3,0,3,0,1,is that ya bitch
3,0,3,0,1,it aint noth to cut a bitch off
3,0,3,0,1,ju meet son now he ya mane ass bitch shot
3,0,2,1,1,lame cri over hoe that tear of a clown
3,0,3,0,1,like snoop said in we dont love these hoe
3,0,1,2,2,momma said no pussi cat insid my doghous
3,0,3,0,1,most hate but the hoe favorit mw sevenon
3,0,3,0,1,nice girl bad make me get naughti bad yello hoe real nice bodi down south chick like em real thick
3,0,3,0,1,pimp up pimp up hoe down futur voic
3,0,3,0,1,post a pictur of that pussi get like
3,0,3,0,1,pussi is a power drug happyhumpday
3,0,3,0,1,quick piec of pussi call it a drive by
3,0,3,0,1,run round here like some brand new pussi that bout to get fuck
3,0,3,0,1,these bitch even worst theyll send them guy for you
3,1,2,0,1,these hoe like nigga that spend money not talk bout it
3,1,2,0,1,we dont trust these nigga all these bitch
3,0,3,0,1,yall nigga b cuf hoe caus yall aint never have bitch
3,0,3,0,1,you dodg a bullet all da bitch i cut off pregnant or bound to be thank god
3,0,3,0,1,young pill chamberlain these bitch love my music
3,0,2,1,1,teanna trump probabl cleaner than most of these twitter hoe but
