Unnamed: 0,count,hate_speech,offensive_language,neither,tweet,class
15632,3,2,0,1,RT @FunSizedYogi: @TheBlackVoice well how else will white ppl get us to forget our horrific past other than to paint a pretty picture of ho&#8230;,0
9609,3,0,0,3,Funny thing is....it's not just the people doing it. It's the people who seeing these pics and judging the birds. Just as wrong.,2
20769,3,0,3,0,"RT @winkSOSA: ""@AintShitSweet__: ""@Rakwon_OGOD: Nigga messed with the wrong bitch &#128557;&#128514;https://t.co/5mNXKVAYot"" &#128557;&#128557;&#128557;&#128557;&#128514;&#128514;&#128557;&#128557;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;""@Th_Real_Esco",1
3737,3,0,3,0,@Jbrendaro30 @ZGabrail @ramsin1995 @GabeEli8 @Jacob2times bitch ass nigggaaa,1
21026,6,0,6,0,S/o that real bitch,1
6860,3,0,3,0,@mia_coop speaking about me all the time tryna make me look bad like you wasn't just eating my pussy .,1
13507,3,0,3,0,Nah Mimi a bitch,1
116,3,0,0,3,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started",2
5315,3,0,2,1,@Worth_BILLions @MystroApollo &#128514;bitch you always hatin lmao,1
23326,3,0,3,0,"Why are nudes called nudes? I would rather be like "" hey girl send me the tits and ass hoe """,1
18797,3,0,3,0,"RT @__VIIXXIV &#128514;

Me: Baby I cooked
Bae: What's for dinner?
Me: That bitch you been texting http://t.co/GwT19xIXUz",1
2551,3,0,3,0,@AustinBurge44 pussy ass schedule,1
21598,3,2,1,0,Stay home then bitch fuck u,0
24814,3,0,2,1,okay but how many people really care if you can see a girls nips through her shirt,1
5100,3,1,2,0,@TheREALJB1RD Now beaners drive em.,1
24384,6,1,5,0,hahaha dumb bitch,1
6489,3,0,3,0,@just_priss I understand but stop venting on this bitch you give to much insight in to your life &amp; these people don't deserve that,1
6592,3,0,3,0,@kieffer_jason @sbsylvester @hunterbuch66 bitch keep talking,1
19290,3,0,2,1,RT @deecatanz: Lmao hoes now a days &#128514;&#128581;,1
1225,3,0,3,0,&#8220;@CommonBlackGirI: bitch that's ham on her face http://t.co/vSRAyShD5Y&#8221; @rachel_dority,1
12772,3,0,0,3,Lilly just tried to climb up a tree after a bird and completely failed oh my god &#128514;,2
23186,3,0,3,0,When i see a SUPER bad bitch and she happen to be from my city i just feel the need to shoot my shot.,1
14170,3,0,3,0,Photo: My mains @riri22barbie @georgegia yessssss #ladykimora turntup. #vegas bitches &#128525;&#128525; http://t.co/QecHHKO42q,1
1727,3,0,3,0,"&#8220;@alexvelazquez49: Jordyn stays making fun of how I eat like a little bitch""",1
24276,3,0,3,0,dope in the bag pretty bitch on the side,1
19643,3,0,3,0,RT @iamSwagnificant: A real hoe will never let you turn her into a house wife.. She'll let you know what it is before you start catching fe&#8230;,1
23347,3,1,2,0,"Why do people use the eggplant Emoji in reference to a dick? If your dick is purple with a green top, see a doctor bruh.",1
24892,3,0,3,0,red bone but her pusssy hairlessss,1
14953,3,0,3,0,RT @CarsonTyler85: @Thompson_Era hell yea ill rep your shirt to fam lol #BetterWithPets TeamDonny in this hoe &#128074;&#128074;,1
19896,3,1,2,0,RT @kpips_forever: Nobody want no pussy 25 other niggas done had before,1
8644,3,0,1,2,"Char-broiled #cod, yellow #rice, saut&#233;ed spinach and artichoke hearts. Made with love for @voxpulchra.&#8230; http://t.co/vWjWlghRGO",2
11464,3,0,1,2,I'll let u clam on top and let dat nookie pop I'm in dat cookie jar I ain't no rookie girllll,2
18992,3,0,3,0,"RT @arigold_88: You and yo bitch break up and she start ""lol"" at another nigga, she gone for good bruh.",1
19374,3,0,3,0,RT @elchavaloko: @_WhitePonyJr_ @Buckm00se @Eric_Mariners i see you guys kicked this long haired faggot out your lil video game team,1
11615,3,0,3,0,"I'm nice to everyone, but don't let this pretty smile confuse you, because i can turn to bitch in nanoseconds.",1
1643,3,0,0,3,&#8220;@WillyC14_: &#8220;@urbie_6: #SingleBecause ill find a cute hoosier to date next year &#128527;&#8221; @Tgold32&#8221; @connorbradley,2
8523,6,0,6,0,Called Eddie a hoe.... By mistake doe. Lol,1
22519,3,1,2,0,This hoe car smell like nigga let off a sweet potato bomb in her shit!,1
18139,3,0,3,0,RT @TheVoiceOfMiami: If you got to have every hoe you see you a weak nigga...,1
3091,3,0,3,0,"@DetroitChe bitches be like.. ""it means something to me""",1
19008,3,1,2,0,"RT @awhooker: Contrary to belief, us queers don&#8217;t go around looking for things to be offended about. It&#8217;s just you cisheteros say the darne&#8230;",1
18365,3,0,3,0,"RT @VRTWxrk_Flash: Mac 10 lay on the floor like a matress ""@yungchipotle: Young based god came straight for the bitches""",1
3061,3,1,2,0,"@DeAdJAkE i just cant stand how people get all fucking amped about it, especially whiny bitches that even get scared at it",1
8579,3,0,3,0,Can't neva be a sucka for no bitch.. That ain't me,1
8244,6,0,6,0,"Big boobs = no ass No ass = big boobs Big boobs and big ass = ugly face Big boobs , big ass , pretty face = hoe.",1
22116,3,2,1,0,Them queer ass shorts Rabchenko got on,0
1587,3,0,3,0,&#8220;@ThadIsReal: Ladies If a nigga always wanna go out and party every weekend . He basically side hoe shopping&#8221;&#128514;,1
10769,3,0,3,0,"I hate when bitches be like ""I love him so much 11/2/2012&lt;3!!!""",1
11495,3,0,3,0,"I'm a dick and you ain't even got ya strap on, pussy",1
13551,3,1,2,0,Never go full retard....,1
1366,3,0,3,0,&#8220;@Jaydillz: The day you unblock me you will become a man again. But that won't happen so you just a bitch.&#8221; @iDisrespectHoez lol,1
